t,Euler,k1,Midpt,k1,k2,RK4,k1,k2,k3,k4
39.8,-39310.397826,-1956.131780,-39405.583294,-1956.026019,-1958.417350,-39405.579769,-1956.026022,-1958.417354,-1958.417222,-1960.808421,
39.9,-39506.011004,-1960.914432,-39601.425029,-1960.808417,-1963.199483,-39601.421495,-1960.808421,-1963.199487,-1963.199354,-1965.590287,
40.0,-39702.102447,-1965.696553,-39797.744977,-1965.590283,-1967.981084,-39797.741435,-1965.590287,-1967.981088,-1967.980955,-1970.371623,
40.1,-39898.672102,-1970.478142,-39994.543086,-1970.371619,-1972.762154,-39994.539535,-1970.371623,-1972.762158,-1972.762025,-1975.152427,
40.2,-40095.719917,-1975.259200,-40191.819301,-1975.152423,-1977.542692,-40191.815742,-1975.152427,-1977.542696,-1977.542563,-1979.932700,
40.3,-40293.245837,-1980.039727,-40389.573570,-1979.932696,-1982.322700,-40389.570003,-1979.932700,-1982.322704,-1982.322571,-1984.712442,
40.4,-40491.249809,-1984.819722,-40587.805840,-1984.712438,-1987.102176,-40587.802264,-1984.712442,-1987.102180,-1987.102047,-1989.491653,
40.5,-40689.731782,-1989.599187,-40786.516058,-1989.491649,-1991.881122,-40786.512473,-1989.491653,-1991.881125,-1991.880993,-1994.270333,
40.6,-40888.691700,-1994.378120,-40985.704170,-1994.270329,-1996.659536,-40985.700577,-1994.270333,-1996.659540,-1996.659407,-1999.048482,
40.7,-41088.129512,-1999.156523,-41185.370124,-1999.048478,-2001.437419,-41185.366522,-1999.048482,-2001.437423,-2001.437291,-2003.826100,
40.8,-41288.045165,-2003.934394,-41385.513866,-2003.826096,-2006.214772,-41385.510256,-2003.826100,-2006.214776,-2006.214643,-2008.603187,
40.9,-41488.438604,-2008.711735,-41586.135343,-2008.603183,-2010.991594,-41586.131725,-2008.603187,-2010.991598,-2010.991465,-2013.379743,
41.0,-41689.309778,-2013.488545,-41787.234502,-2013.379739,-2015.767885,-41787.230875,-2013.379743,-2015.767889,-2015.767756,-2018.155769,
41.1,-41890.658632,-2018.264824,-41988.811291,-2018.155765,-2020.543645,-41988.807656,-2018.155769,-2020.543650,-2020.543517,-2022.931264,
